Date & Time,Source IP,Destination IP,Source MAC,Destination MAC,Protocol,Flags,Src Port,Dst Port,Length
2020-03-16 15:13:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:13:31,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:13:31,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:14:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:14:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:01,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:14:01,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:14:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:14:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:14:31,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:14:31,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:15:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:15:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:01,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:15:01,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:15:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:15:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:15:31,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:15:31,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:16:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:16:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:01,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:16:01,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:16:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:16:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:16:31,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:16:31,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:17:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:17:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:17:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:17:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:17:01,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:17:01,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
